type,name,notice,furigana
Small Metal Articles,魔法瓶（最長辺が30cm未満）,,ま
Oversized Trash,魔法瓶（最長辺が30cm以上）,,ま
Mix Paper,メモ帳,,め
Ordinary Trash,毛布,最長辺を50cm未満にたたんで出す,も
Small Metal Articles,餅網,,も
Oversized Trash,物干し竿（2m未満）,,も
Oversized Trash,物干し竿（2m以上）,少し超える程度であれば、切断せずにそのままOversized Trashとして出せます。申し込み後は受付番号（または到達番号）と物干し竿の長さを、生活環境部収集計画課に電話またはメールでお知らせください。,も
Small Metal Articles,やかん（最長辺が30cm未満）,柄・取っ手を除き、最長辺が30cm以上ならOversized Trash,や
Oversized Trash,やかん（最長辺が30cm以上）,柄・取っ手を除き、最長辺が30cm以上ならOversized Trash,や
Ordinary Trash,焼きとり等の串,先を折るなど危なくないようにして出す,や
Ordinary Trash,湯たんぽ,,ゆ
Small Metal Articles,湯たんぽ（金属製）,,ゆ
Ordinary Trash,ライター（使い切り式）,ガス・オイルは使い切るか、抜いて出す,ら
Small Metal Articles,ライター（充てん式）,ガス・オイルは使い切るか、抜いて出す,ら
Small Metal Articles,ラジオ（30cm未満）,最長辺が30cm以上ならOversized Trash。乾電池を取りはずす（乾電池は資源物へ）,ら
Oversized Trash,ラジオ（30cm以上）,最長辺が30cm以上ならOversized Trash。乾電池を取りはずす（乾電池は資源物へ）,ら
Plastic Containers and Packaging,ラップ（商品を包んでいたもの）,汚れたものはOrdinary Trash,ら
Mix Paper,ラップの芯,,ら
Small Metal Articles,リモコン,,り
Small Metal Articles,レーザープリンタ,たたんだ30cm以上ならOversized Trash,れ
Oversized Trash,レーザープリンタ,たたんだ30cm以上ならOversized Trash,れ
Mix Paper,レシート,,れ
Plastic Containers and Packaging,レジ袋,,れ
